iter	Passed	Remaining
503	6070	5974
504	6086	5965
505	6099	5955
506	6112	5943
507	6122	5929
508	6135	5918
509	6147	5906
510	6158	5893
511	6169	5880
512	6182	5868
513	6193	5856
514	6204	5842
515	6216	5830
516	6226	5817
517	6237	5803
518	6250	5792
519	6262	5780
520	6274	5768
521	6284	5755
522	6295	5742
523	6306	5728
524	6317	5715
525	6328	5702
526	6339	5690
527	6350	5676
528	6363	5665
529	6376	5654
530	6389	5643
531	6400	5630
532	6410	5616
533	6419	5601
534	6426	5586
535	6435	5571
536	6444	5556
537	6453	5541
538	6462	5527
539	6473	5514
540	6483	5500
541	6494	5487
542	6505	5475
543	6517	5462
544	6527	5449
545	6538	5436
546	6547	5422
547	6558	5409
548	6566	5394
549	6575	5380
550	6587	5367
551	6597	5354
552	6606	5340
553	6617	5327
554	6627	5313
555	6637	5300
556	6646	5286
557	6654	5271
558	6666	5258
559	6677	5246
560	6686	5232
561	6697	5219
562	6707	5206
563	6719	5194
564	6728	5180
565	6737	5166
566	6750	5155
567	6761	5142
568	6772	5130
569	6783	5117
570	6795	5105
571	6806	5092
572	6817	5080
573	6828	5067
574	6838	5054
575	6849	5041
576	6860	5029
577	6871	5016
578	6881	5003
579	6892	4990
580	6902	4977
581	6913	4965
582	6924	4952
583	6935	4940
584	6948	4929
585	6961	4918
586	6971	4905
587	6982	4892
588	6993	4879
589	7003	4866
590	7014	4854
591	7024	4841
592	7034	4827
593	7044	4814
594	7055	4802
595	7065	4789
596	7078	4778
597	7090	4766
598	7100	4753
599	7110	4740
600	7121	4728
601	7132	4715
602	7142	4702
603	7154	4690
604	7165	4678
605	7176	4665
606	7187	4653
607	7198	4641
608	7208	4628
609	7219	4615
610	7230	4603
611	7239	4589
612	7249	4576
613	7258	4563
614	7269	4551
615	7280	4538
616	7291	4525
617	7301	4513
618	7311	4500
619	7322	4487
620	7335	4477
621	7348	4465
622	7358	4453
623	7370	4440
624	7381	4428
625	7392	4416
626	7401	4403
627	7412	4391
628	7422	4378
629	7433	4365
630	7444	4353
631	7455	4341
632	7466	4328
633	7477	4316
634	7488	4304
635	7498	4291
636	7508	4278
637	7519	4266
638	7530	4254
639	7540	4241
640	7549	4228
641	7559	4215
642	7570	4203
643	7580	4190
644	7591	4178
645	7600	4164
646	7612	4153
647	7624	4141
648	7635	4129
649	7644	4116
650	7655	4104
651	7665	4091
652	7676	4079
653	7687	4067
654	7698	4055
655	7710	4043
656	7722	4031
657	7733	4019
658	7743	4006
659	7753	3994
660	7763	3981
661	7774	3969
662	7786	3957
663	7797	3945
664	7807	3933
665	7818	3920
666	7828	3908
667	7839	3896
668	7850	3884
669	7861	3872
670	7872	3859
671	7883	3847
672	7893	3835
673	7905	3823
674	7916	3811
675	7926	3798
676	7936	3786
677	7948	3775
678	7959	3762
679	7968	3750
680	7981	3738
681	7991	3726
682	8002	3714
683	8013	3702
684	8023	3689
685	8034	3677
686	8045	3665
687	8055	3653
688	8065	3640
689	8076	3628
690	8087	3616
691	8099	3605
692	8113	3594
693	8126	3583
694	8136	3570
695	8148	3558
696	8157	3546
697	8165	3532
698	8175	3520
699	8184	3507
700	8195	3495
701	8207	3483
702	8215	3470
703	8225	3458
704	8235	3446
705	8244	3433
706	8255	3421
707	8265	3408
708	8274	3396
709	8284	3383
710	8293	3371
711	8304	3358
712	8313	3346
713	8325	3334
714	8334	3322
715	8343	3309
716	8353	3297
717	8361	3283
718	8372	3271
719	8382	3259
720	8391	3247
721	8402	3235
722	8413	3223
723	8421	3210
724	8432	3198
725	8441	3185
726	8453	3174
727	8464	3162
728	8474	3150
729	8485	3138
730	8496	3126
731	8508	3115
732	8518	3103
733	8529	3090
734	8539	3078
735	8551	3067
736	8563	3055
737	8573	3043
738	8584	3031
739	8594	3019
740	8605	3007
741	8616	2995
742	8626	2983
743	8636	2971
744	8647	2959
745	8657	2947
746	8667	2935
747	8678	2923
748	8689	2911
749	8700	2900
750	8710	2888
751	8720	2876
752	8730	2863
753	8740	2851
754	8749	2839
755	8760	2827
756	8770	2815
757	8780	2803
758	8790	2791
759	8801	2779
760	8813	2768
761	8825	2756
762	8835	2744
763	8846	2732
764	8858	2721
765	8870	2709
766	8882	2698
767	8893	2686
768	8906	2675
769	8920	2664
770	8930	2652
771	8941	2640
772	8951	2628
773	8960	2616
774	8972	2604
775	8983	2593
776	8993	2581
777	9006	2569
778	9017	2558
779	9028	2546
780	9039	2534
781	9049	2522
782	9058	2510
783	9069	2498
784	9080	2487
785	9090	2475
786	9102	2463
787	9113	2451
788	9124	2440
789	9135	2428
790	9145	2416
791	9154	2404
792	9165	2392
793	9175	2380
794	9187	2369
795	9198	2357
796	9209	2345
797	9223	2334
798	9235	2323
799	9247	2311
800	9260	2300
801	9270	2288
802	9281	2276
803	9291	2265
804	9300	2252
805	9311	2241
806	9323	2229
807	9333	2217
808	9346	2206
809	9356	2194
810	9366	2182
811	9378	2171
812	9388	2159
813	9398	2147
814	9410	2136
815	9419	2124
816	9431	2112
817	9442	2100
818	9452	2089
819	9463	2077
820	9474	2065
821	9485	2054
822	9496	2042
823	9507	2030
824	9517	2018
825	9529	2007
826	9540	1995
827	9551	1984
828	9560	1972
829	9571	1960
830	9580	1948
831	9591	1936
832	9602	1925
833	9612	1913
834	9624	1901
835	9635	1890
836	9645	1878
837	9656	1866
838	9667	1855
839	9681	1844
840	9691	1832
841	9702	1820
842	9712	1808
843	9723	1797
844	9736	1786
845	9748	1774
846	9758	1762
847	9770	1751
848	9780	1739
849	9790	1727
850	9801	1716
851	9811	1704
852	9821	1692
853	9832	1680
854	9843	1669
855	9853	1657
856	9866	1646
857	9876	1634
858	9885	1622
859	9896	1610
860	9905	1599
861	9916	1587
862	9927	1575
863	9938	1564
864	9948	1552
865	9959	1541
866	9969	1529
867	9981	1517
868	9991	1506
869	10001	1494
870	10011	1482
871	10022	1471
872	10031	1459
873	10044	1448
874	10055	1436
875	10066	1424
876	10078	1413
877	10091	1402
878	10102	1390
879	10115	1379
880	10127	1368
881	10138	1356
882	10147	1344
883	10157	1332
884	10168	1321
885	10178	1309
886	10189	1298
887	10198	1286
888	10208	1274
889	10219	1263
890	10229	1251
891	10240	1239
892	10252	1228
893	10262	1216
894	10272	1205
895	10283	1193
896	10293	1181
897	10304	1170
898	10315	1158
899	10333	1148
900	10350	1137
901	10365	1126
902	10377	1114
903	10387	1103
904	10395	1091
905	10404	1079
906	10416	1068
907	10432	1057
908	10456	1046
909	10472	1035
910	10488	1024
911	10517	1014
912	10534	1003
913	10549	992
914	10561	981
915	10573	969
916	10583	957
917	10593	946
918	10604	934
919	10617	923
920	10629	911
921	10639	900
922	10650	888
923	10663	877
924	10674	865
925	10684	853
926	10696	842
927	10708	830
928	10735	820
929	10762	810
930	10794	800
931	10819	789
932	10847	778
933	10861	767
934	10873	755
935	10884	744
936	10897	732
937	10909	721
938	10922	709
939	10932	697
940	10945	686
941	10958	674
942	10977	663
943	10994	652
944	11006	640
945	11018	628
946	11028	617
947	11040	605
948	11049	593
949	11059	582
950	11071	570
951	11082	558
952	11094	547
953	11106	535
954	11119	523
955	11130	512
956	11140	500
957	11151	488
958	11162	477
959	11171	465
960	11183	453
961	11194	442
962	11205	430
963	11220	419
964	11233	407
965	11245	395
966	11255	384
967	11268	372
968	11279	360
969	11289	349
970	11301	337
971	11313	325
972	11324	314
973	11336	302
974	11347	290
975	11360	279
976	11370	267
977	11381	256
978	11392	244
979	11402	232
980	11414	221
981	11426	209
982	11437	197
983	11448	186
984	11460	174
985	11471	162
986	11482	151
987	11494	139
988	11506	127
989	11517	116
990	11530	104
991	11541	93
992	11551	81
993	11561	69
994	11572	58
995	11582	46
996	11591	34
997	11602	23
998	11613	11
999	11624	0
