iter	Logloss
0	0.6825059539
1	0.6731277302
2	0.6616741781
3	0.6524224224
4	0.6443964337
5	0.6351221563
6	0.6249847912
7	0.6154999558
8	0.6055085154
9	0.5966581524
10	0.5877081075
11	0.5805308139
12	0.5734230843
13	0.5651072453
14	0.5556715845
15	0.5460021445
16	0.5381598276
17	0.5302710347
18	0.5226001293
19	0.5159254428
20	0.507811033
21	0.501040496
22	0.4949090623
23	0.487943526
24	0.4801658424
25	0.4730785356
26	0.4679441536
27	0.4613318349
28	0.4551622875
29	0.449531362
30	0.4439131632
31	0.4374833169
32	0.4321973799
33	0.4264707039
34	0.4210257157
35	0.4151331253
36	0.4090393388
37	0.4034234721
38	0.3993155268
39	0.3940170296
40	0.3892852065
41	0.3837770175
42	0.378797489
43	0.374224084
44	0.3692080743
45	0.3643782351
46	0.3606931714
47	0.3565781964
48	0.3528066773
49	0.3490459527
50	0.3453380008
51	0.341436782
52	0.3367702918
53	0.3326611138
54	0.3291302705
55	0.3255481869
56	0.3218763164
57	0.3180094466
58	0.31356191
59	0.3100514228
60	0.3067736488
61	0.3034335403
62	0.3001300129
63	0.2969292324
64	0.2944599409
65	0.2912260775
66	0.2879070581
67	0.2846995145
68	0.2813369176
69	0.2794583877
70	0.2759339077
71	0.2727307618
72	0.2699077696
73	0.2670123981
74	0.2645391586
75	0.2615152535
76	0.2585992094
77	0.2559664189
78	0.2529171769
79	0.2503101065
80	0.247510419
81	0.2449804254
82	0.2428408636
83	0.2409015984
84	0.2379250355
85	0.2357951021
86	0.2330392918
87	0.2306379319
88	0.2288784405
89	0.2266050478
90	0.2243660374
91	0.2227527372
92	0.2210159007
93	0.2188029435
94	0.2171323562
95	0.215005088
96	0.2128100882
97	0.2106355611
98	0.2085706941
99	0.206318174
100	0.2045990784
101	0.2031990513
102	0.2013870704
103	0.1997793006
104	0.1981025665
105	0.1961013499
106	0.1940119122
107	0.192018475
108	0.1902894679
109	0.1887315723
110	0.1870885875
111	0.1855472168
112	0.1836123492
113	0.1813582466
114	0.1797978191
115	0.1783075553
116	0.1766513439
117	0.1752617282
118	0.1739069611
119	0.1722495836
120	0.1709519204
121	0.1696878732
122	0.1683329895
123	0.1673313234
124	0.1660234988
125	0.1645106467
126	0.163149283
127	0.1623059186
128	0.161258676
129	0.1598836028
130	0.1584334017
131	0.1572380356
132	0.1558743398
133	0.1546576015
134	0.1536499885
135	0.1524481258
136	0.15151694
137	0.1502213757
138	0.1491189616
139	0.1479090864
140	0.1471228591
141	0.1459684386
142	0.144728862
143	0.1435019623
144	0.1425538019
145	0.1413261359
146	0.1402354491
147	0.1391202666
148	0.1381351837
149	0.1372000416
150	0.1358663136
151	0.1348754003
152	0.1340119046
153	0.1330424219
154	0.1317204296
155	0.1306540802
156	0.1296188482
157	0.1285753703
158	0.1275891796
159	0.1264462365
160	0.125402692
161	0.1245717378
162	0.1240884957
163	0.1231306237
164	0.1225533968
165	0.1216250845
166	0.1208979017
167	0.1199491666
168	0.1191062685
169	0.1183002014
170	0.1176916157
171	0.1166591239
172	0.1156588904
173	0.1147070486
174	0.1139799158
175	0.1131682266
176	0.1123335243
177	0.111736366
178	0.1110259828
179	0.1103836562
180	0.1097812423
181	0.1093078201
182	0.1087591201
183	0.1080845185
184	0.1075821696
185	0.1067989823
186	0.1060591227
187	0.1053518213
188	0.1047036227
189	0.1040949953
190	0.1035581559
191	0.1029427154
192	0.1021780852
193	0.1016947015
194	0.1010462031
195	0.1005483268
196	0.1000244141
197	0.09935339391
198	0.09856386829
199	0.0979120882
200	0.09724723153
201	0.09643807438
202	0.09599628585
203	0.09554217869
204	0.09493320982
205	0.09442494729
206	0.09393838189
207	0.09340153411
208	0.09270239515
209	0.0920887537
210	0.09159283479
211	0.09104657522
212	0.09060910113
213	0.08995229863
214	0.08927414883
215	0.08891744137
216	0.0883456533
217	0.08790099959
218	0.08752430245
219	0.08705516138
220	0.08666821953
221	0.08625975546
222	0.08568316988
223	0.08507721613
224	0.08456839555
225	0.08413360341
226	0.08363151269
227	0.08305704268
228	0.08260649201
229	0.08229505283
230	0.08170630686
231	0.0811286385
232	0.08067069998
233	0.0803223049
234	0.07987067978
235	0.07948513721
236	0.07895361169
237	0.07839450041
238	0.0779478394
239	0.07743873564
240	0.07707281626
241	0.07671002028
242	0.07638853629
243	0.07589162623
244	0.07550544232
245	0.07514552818
246	0.07462375596
247	0.07419336988
248	0.07387833256
249	0.07349996129
250	0.07316337677
251	0.0727213467
252	0.07231002577
253	0.07196812733
254	0.07166390942
255	0.07118234144
256	0.07088343746
257	0.07048937429
258	0.07010182442
259	0.06972734696
260	0.0693891591
261	0.06910826249
262	0.06881102016
263	0.06853718656
264	0.06816912247
265	0.0678654168
266	0.0675804348
267	0.06728816489
268	0.06693873284
269	0.06662486992
270	0.06638711769
271	0.06610415132
272	0.06573987276
273	0.06531496302
274	0.06511265916
275	0.06480648393
276	0.06453186741
277	0.06424137992
278	0.06401631697
279	0.06373390448
280	0.06341129607
281	0.06310062734
282	0.06279852917
283	0.0624543694
284	0.0621345887
285	0.06182902982
286	0.06155018215
287	0.06123756859
288	0.06093827314
289	0.06065934218
290	0.06035639862
291	0.06008911581
292	0.05976413363
293	0.05953229919
294	0.05924227812
295	0.05900217294
296	0.05877404075
297	0.05851867679
298	0.05828895792
299	0.05810055521
300	0.05788090197
301	0.05762928191
302	0.05745370591
303	0.05717776507
304	0.05690724227
305	0.05664680592
306	0.05631864205
307	0.05596439998
308	0.05572681434
309	0.05538496587
310	0.05515419337
311	0.05482716225
312	0.05453871954
313	0.05437955173
314	0.05412785254
315	0.0539195018
316	0.0536207644
317	0.05341076868
318	0.05314888725
319	0.05290383046
320	0.05269009917
321	0.05245910179
322	0.05222312781
323	0.0520769991
324	0.05184172893
325	0.05158193809
326	0.05136239313
327	0.05110455128
328	0.05086671993
329	0.05062619413
330	0.0503904034
331	0.0501940423
332	0.04996057536
333	0.04977338036
334	0.04960400949
335	0.04932905981
336	0.04912028429
337	0.04896992027
338	0.04875552265
339	0.04861286298
340	0.04843989814
341	0.04816942947
342	0.04795738481
343	0.04776247296
344	0.04758908333
345	0.04741113772
346	0.04722027378
347	0.04701802822
348	0.04681246354
349	0.04664740295
350	0.04652362104
351	0.04638857411
352	0.04624360314
353	0.04606277985
354	0.04586953381
355	0.04574191637
356	0.04553809663
357	0.04540125063
358	0.04519331634
359	0.04501667422
360	0.04482511481
361	0.04458084928
362	0.04445645935
363	0.04422357961
364	0.04408562168
365	0.04395894543
366	0.04374023338
367	0.04364797685
368	0.04348901727
369	0.04335833059
370	0.04321449653
371	0.04302677264
372	0.04284106854
373	0.04258217307
374	0.04243510318
375	0.04227127944
376	0.04207962841
377	0.04198758011
378	0.04188290084
379	0.04171132694
380	0.04154453807
381	0.04131725127
382	0.04115716727
383	0.0409935476
384	0.04090461852
385	0.04078389753
386	0.04061474321
387	0.04046404603
388	0.04030910938
389	0.04016701609
390	0.04001906332
391	0.03986949473
392	0.03971523272
393	0.03958293437
394	0.03942928872
395	0.03929199711
396	0.03910763815
397	0.03897943352
398	0.03885516852
399	0.03868200794
400	0.03855474866
401	0.03840111966
402	0.03825537826
403	0.03811694141
404	0.03797010057
405	0.03784794699
406	0.0376635672
407	0.03756993222
408	0.03745553296
409	0.03732092747
410	0.03715536297
411	0.03704258371
412	0.03690959822
413	0.03675130912
414	0.03663468185
415	0.03654118013
416	0.03645788148
417	0.03632614118
418	0.03621428644
419	0.03612167177
420	0.03601286962
421	0.03586092309
422	0.03571817597
423	0.03561485849
424	0.03546341169
425	0.03534963711
426	0.03520896809
427	0.03506996487
428	0.03498325132
429	0.03486681145
430	0.03475429871
431	0.03461830019
432	0.03450567085
433	0.03439402642
434	0.03431054037
435	0.03421353421
436	0.03412282064
437	0.0339905452
438	0.03385024682
439	0.03370704368
440	0.03358591873
441	0.03350065235
442	0.0333864509
443	0.03325248675
444	0.03315527029
445	0.03303586528
446	0.03294181801
447	0.03280631507
448	0.03269547855
449	0.03256377782
450	0.03248434383
451	0.0323703298
452	0.0322626479
453	0.03214991862
454	0.03204035436
455	0.03193650799
456	0.03180909462
457	0.03174093398
458	0.03163151132
459	0.03153716004
460	0.03147253508
461	0.0313978549
462	0.03130804919
463	0.03120467757
464	0.03112313843
465	0.03102439359
466	0.03092406415
467	0.03081786066
468	0.03069634424
469	0.03055036754
470	0.03046716676
471	0.0303834579
472	0.03033243008
473	0.03023769775
474	0.03016185775
475	0.03007763249
476	0.02994427011
477	0.02982053609
478	0.02971223785
479	0.02962929527
480	0.02954413924
481	0.02943428139
482	0.02933757299
483	0.02920813567
484	0.02912364805
485	0.02904469299
486	0.02898351625
487	0.0289058272
488	0.02879068666
489	0.02867424054
490	0.02853363606
491	0.02844306617
492	0.0283567649
493	0.02824697784
494	0.02816165524
495	0.02807709266
496	0.02800454887
497	0.02789749165
498	0.02780457505
499	0.02773805732
500	0.02765809444
501	0.02759751323
502	0.02754054056
503	0.02747220502
504	0.02742300959
505	0.02731910283
506	0.02724326075
507	0.02716497617
508	0.0270680304
509	0.02699459957
510	0.02692375491
511	0.02683896536
512	0.02675595614
513	0.02668455343
514	0.02659676751
515	0.02653066207
516	0.02646050871
517	0.0263733787
518	0.02628101182
519	0.02623205377
520	0.02614753908
521	0.02608996256
